country,year,type,value
Netherlands,2013,DEATH,2899
Netherlands,2014,PHARMA,78.5
Netherlands,2014,DEATH,2761
Netherlands,2015,PHARMA,57
Netherlands,2015,DEATH,2830
Netherlands,2016,PHARMA,57.2
Netherlands,2016,DEATH,2891
Netherlands,2017,PHARMA,53
Netherlands,2017,DEATH,2781
Netherlands,2018,PHARMA,54.9
Netherlands,2018,DEATH,2694
Netherlands,2019,PHARMA,52.3
Netherlands,2019,DEATH,2725
Netherlands,2020,PHARMA,48.3
Netherlands,2020,DEATH,2799
New Zealand,2010,PHARMA,48.4
New Zealand,2010,DEATH,774
New Zealand,2011,PHARMA,48.4
New Zealand,2011,DEATH,835
New Zealand,2012,PHARMA,48.7
New Zealand,2012,DEATH,807
New Zealand,2013,PHARMA,50.1
New Zealand,2013,DEATH,793
New Zealand,2014,PHARMA,51.5
New Zealand,2014,DEATH,791
New Zealand,2015,PHARMA,53
New Zealand,2015,DEATH,838
New Zealand,2016,PHARMA,55.4
New Zealand,2016,DEATH,844
New Zealand,2017,PHARMA,0
New Zealand,2017,DEATH,0
New Zealand,2018,PHARMA,0
New Zealand,2018,DEATH,0
New Zealand,2019,PHARMA,0
New Zealand,2019,DEATH,0
New Zealand,2020,PHARMA,0
New Zealand,2020,DEATH,0
Norway,2010,PHARMA,56.2
Norway,2010,DEATH,702
Norway,2011,PHARMA,58.5
Norway,2011,DEATH,711
Norway,2012,PHARMA,59.9
Norway,2012,DEATH,733
Norway,2013,PHARMA,65.9
Norway,2013,DEATH,656
Norway,2014,PHARMA,76.8
Norway,2014,DEATH,614
Norway,2015,PHARMA,62.5
Norway,2015,DEATH,604
Norway,2016,PHARMA,58.6
Norway,2016,DEATH,633
Norway,2017,PHARMA,0
Norway,2017,DEATH,0
Norway,2018,PHARMA,0
Norway,2018,DEATH,0
Norway,2019,PHARMA,0
Norway,2019,DEATH,0
Norway,2020,PHARMA,0
Norway,2020,DEATH,0
Poland,2010,PHARMA,61
Poland,2010,DEATH,6512
Poland,2011,PHARMA,62.7
Poland,2011,DEATH,6766
Poland,2012,PHARMA,64.5
Poland,2012,DEATH,7129
Poland,2013,PHARMA,67.2
Poland,2013,DEATH,7441
Poland,2014,PHARMA,68.5
Poland,2014,DEATH,6786
